N,Z
2220,-242
2221,-246
2222,-252
2223,-244
2224,-232
2225,-240
2226,-246
2227,-250
2228,-246
2229,-232
2230,-244
2231,-240
2232,-242
2233,-250
2234,-236
2235,-246
2236,-240
2237,-236
2238,-246
2239,-250
2240,-212
2241,-230
2242,-318
2243,-226
2244,-114
2245,-284
2246,-360
2247,-168
2248,-194
2249,-318
2250,-204
2251,-216
2252,-298
2253,-204
2254,-208
2255,-282
2256,-218
2257,-208
2258,-280
2259,-262
2260,-222
2261,-248
2262,-228
2263,-220
2264,-258
2265,-258
2266,-248
2267,-232
2268,-242
2269,-240
2270,-234
2271,-250
2272,-256
2273,-232
2274,-240
2275,-248
2276,-238
2277,-256
2278,-248
2279,-222
2280,-234
2281,-250
2282,-232
2283,-234
2284,-250
2285,-238
2286,-234
2287,-260
2288,-242
2289,-226
2290,-246
2291,-264
2292,-234
2293,-240
2294,-256
2295,-240
2296,-224
2297,-258
2298,-242
2299,-238
2300,-240
2301,-250
2302,-234
2303,-222
2304,-252
2305,-250
2306,-232
2307,-240
2308,-248
2309,-226
2310,-238
2311,-254
2312,-234
2313,-240
2314,-238
2315,-248
2316,-230
2317,-242
2318,-238
2319,-236
2320,-244
2321,-248
2322,-182
2323,-240
2324,-326
2325,-252
2326,-132
2327,-228
2328,-284
2329,-218
2330,-242
2331,-268
2332,-206
2333,-212
2334,-264
2335,-228
2336,-232
2337,-256
2338,-240
2339,-232
2340,-240
2341,-242
2342,-244
2343,-256
2344,-250
2345,-248
2346,-210
2347,-238
2348,-256
2349,-250
2350,-234
2351,-236
2352,-228
2353,-252
2354,-244
2355,-242
2356,-256
2357,-222
2358,-222
2359,-248
2360,-254
2361,-232
2362,-244
2363,-248
2364,-246
2365,-248
2366,-242
2367,-236
2368,-240
2369,-240
2370,-242
2371,-238
2372,-244
2373,-254
2374,-232
2375,-240
2376,-242
2377,-242
2378,-216
2379,-230
2380,-250
2381,-226
2382,-242
2383,-248
2384,-242
2385,-242
2386,-250
2387,-242
2388,-226
2389,-240
2390,-242
2391,-244
2392,-238
2393,-250
2394,-254
2395,-244
2396,-258
2397,-256
2398,-236
2399,-238
2400,-218
2401,-294
2402,-294
2403,-136
2404,-134
2405,-384
2406,-308
2407,-130
2408,-264
2409,-276
2410,-170
2411,-282
2412,-278
2413,-182
2414,-270
2415,-288
2416,-180
2417,-226
2418,-286
2419,-242
2420,-250
2421,-244
2422,-206
2423,-230
2424,-250
2425,-256
2426,-236
2427,-232
2428,-234
2429,-226
2430,-238
2431,-256
2432,-244
2433,-236
2434,-238
2435,-228
2436,-250
2437,-262
2438,-240
2439,-224
2440,-250
2441,-240
2442,-234
2443,-268
2444,-248
2445,-234
2446,-238
2447,-242
2448,-230
2449,-230
2450,-254
2451,-248
2452,-236
2453,-244
2454,-248
2455,-244
2456,-234
2457,-256
2458,-246
2459,-228
2460,-232
2461,-258
2462,-236
2463,-244
2464,-248
2465,-236
2466,-230
2467,-236
2468,-244
2469,-248
2470,-246
2471,-246
2472,-246
2473,-240
2474,-244
2475,-230
2476,-226
2477,-244
2478,-234
2479,-226
2480,-264
2481,-230
2482,-174
2483,-262
2484,-346
2485,-206
2486,-134
2487,-278
2488,-298
2489,-200
2490,-242
2491,-268
2492,-212
2493,-222
2494,-264
2495,-256
